"Tweet" "City" "Words" "AFScore" "BingScore" "NumWords" "AFINNcats"
"4" "Natural immunity after covid is far better than both vaccined https://t.co/oh82xMAYhf" "CT" "better_natural" 2 "positive" "2" "[1;3)"
"16" "7 ways to talk to hesitant loved ones about the COVID 19 vaccine.  https://t.co/t5rutRPsz8" "CT" "hesitant_loved" 0 "neutral" "2" "0"
"18" "@ProfBokdrol In fact, let us all die without any Levels like we did without Covid." "CT" "die_like" 0 "neutral" "2" "0"
"25" "@rinmor @Richard_Spoor Bullshit ! Israel is case in point 90% vaccinated with highest rate of covid infections." "CT" "bullshit" -4 "negative" "1" "[-5;-3]"
"35" "35,000 women have reported period disruption after getting a Covid jab https://t.co/vhc6l5NUcG via @MailOnline" "CT" "disruption" -2 "negative" "1" "(-3;-1]"
"36" "@Energy100FMNam We must just increase the population and there by the STIs the government must put up some measures like they did with Covid" "CT" "increase_like" 2 "positive" "2" "[1;3)"
"48" "@EbrahimFakir @Billbobbird @kateomega Thanks, will definitely use that! Is there anything for covid related stuff as well?" "CT" "thanks" 2 "positive" "1" "[1;3)"
"49" "@Dumirocks @CoruscaKhaya What a sexy discussion! Here's link for the guys who missed it. https://t.co/WVrprSv1a4" "CT" "missed_sexy" 0 "neutral" "2" "0"
"68" "Covid-19: Cuba to seek WHO approval of vaccines for toddlers | News24 https://t.co/20XwEXNH15" "CT" "approval" 2 "positive" "1" "[1;3)"
"74" "@MusingMaggs Bit strange the second vaccine name being COVID-19? On a form for the COVID vaccine?" "CT" "strange" -1 "negative" "1" "(-3;-1]"
"81" "CAPE TOWN PHILHARMONIC ORCHESTRA: Concert of Gratitude celebrates healthcare workers on the Covid frontline https://t.co/5WxveHKoQw" "CT" "celebrates" 3 "positive" "1" "[3;5]"
"94" "@tallulahlucy @morgalahan @TheGrahamZA We've had to enforce strict rules: no politics, religion, racism, or opinions about Covid." "CT" "no_racism" -2 "negative" "2" "(-3;-1]"
"105" "@nunukhumalo @Thabethe_Ra @SAfmnews Every death nowadays is covid related, let's wait and hear" "CT" "death" -2 "negative" "1" "(-3;-1]"
"117" "@brian_brianr @tomtom_m Excess deaths week to week are lowest in WC because they correctly capture more of the Covid deaths?" "CT" "lowest" -1 "positive" "1" "(-3;-1]"
"120" "@BitaScicomm If only the west could wake up, we to could be #Covid_19 free..
https://t.co/WJ9CvjMfV2" "CT" "free" 1 "positive" "1" "[1;3)"
"132" "Will the Compensation Fund honour claims for Covid vaccine adverse effects if it made compulsory by the employer?
@Richard_Spoor" "CT" "honour" 2 "negative" "1" "[1;3)"
"145" "@kmvnarayan14 @docwas Please add Covid   2021.

Changed lives, but not in a good way.
https://t.co/OAeLLQHa2q" "CT" "good_please" 2 "positive" "2" "[1;3)"
"155" "The terrible facts about Remdesivir as a standard treatment for covid-19 in hospitals.
https://t.co/EUGaIxWvic" "CT" "terrible" -3 "negative" "1" "[-5;-3]"
"156" "COVID-19 stats should also state from the people who tested positive, how many of them were vaccinated." "CT" "positive" 2 "positive" "1" "[1;3)"
"159" "CAPE TOWN PHILHARMONIC ORCHESTRA: Concert of Gratitude celebrates healthcare workers on the Covid frontline https://t.co/6nbbOzvJKc" "CT" "celebrates" 3 "positive" "1" "[3;5]"
"161" "A brief history of freedom rights 
1980: Seatbelts 
2021: Covid vaccine https://t.co/6SCu77ZHIq" "CT" "freedom" 2 "positive" "1" "[1;3)"
"174" "On the limitation of rights: Why I support a Covid-19 vaccine requirement at UCT (Part Two) https://t.co/zv0TFzCLTz https://t.co/ya0j2TIq08" "CT" "limitation_support" 0 "neutral" "2" "0"
"185" "@deputfiz @ThomasMiskin Or die of Covid" "CT" "die" -3 "negative" "1" "[-5;-3]"
"192" "@ILLUMINATIAM111 L wish they will be peace and harmony, no more covid and poverty,l wish that life can go back to its normal." "CT" "no_peace_poverty_wish" 0 "positive" "4" "0"
"194" "@TheoPaphitis Kak! covid business casualties are killing me. Need to talk to you @TheoPaphitis" "CT" "killing" -3 "negative" "1" "[-5;-3]"
"199" "Covid waiting for me to take off the mask like: #MetGala2021 https://t.co/NvwHbg2vGj" "CT" "like" 2 "positive" "1" "[1;3)"
