"Tweet" "Country" "Words" "AFScore" "BingScore" "NumWords" "AFINNcats"
"4" "Moderna, Racing for Profits, Keeps Covid Vaccine Out of Reach of Poor https://t.co/wpfKpdV8Sc" "RSA" "poor_reach" 0 "negative" 2 "0"
"17" "Is my immunity waning? Doctors advise Pfizer vaccine recipients not to worry https://t.co/zoWwTgrZ3y #NEWS https://t.co/Xmz4Qbt1Mj" "RSA" "worry" -3 "negative" 1 "[-5;-3]"
"19" "@WSJ I find it funny anti vaxx is used so frequently when it should be anti COVID vaxx. Be more specific, cuz y'all sound like idiots." "RSA" "anti_funny_like" 1 "negative" 3 "[1;3)"
"21" "Covid-19: Part 1 of multiple episodes about the biggest medical scam of all times

https://t.co/c5z85sAUUL" "RSA" "scam" -2 "negative" 1 "(-3;-1]"
"25" "@Bithindel Bah!! On Primal. If World visit was in place (which I was suspecting it wouldn't given COVID), I would be glad to join." "RSA" "glad_join_suspecting" 1 "positive" 3 "[1;3)"
"30" "@bulletvibe45 Because they know The Covid is Fake" "RSA" "fake" -3 "negative" 1 "[-5;-3]"
"33" "More Americans have died of COVID under Biden than Trump: Johns Hopkins - https://t.co/HK4Skvu97q - @washtimes" "RSA" "died" -3 "neutral" 1 "[-5;-3]"
"37" "Supply chain issues? Blame COVID and globalism.
https://t.co/LjK5wjlmHk" "RSA" "blame" -2 "negative" 1 "(-3;-1]"
"41" "First, Impressive Vaccines for Covid. Next Up: The Flu. https://t.co/UCs3E2pV0f" "RSA" "flu_impressive" 0 "positive" 2 "0"
"42" "@GlennYoungkin A \"movement\" to spread COVID-19 all over Virginia, to bring Trumpism to Virginia, etc. NO, THANK YOU!" "RSA" "no_thank" 0 "positive" 2 "0"
"49" "#VanessaSantos: Battle cry of the COVID mom https://t.co/1Q6yWFbbvq https://t.co/qbNYJZ1rfw" "RSA" "battle_cry" -1 "negative" 2 "(-3;-1]"
"50" "Self-isolate with Covid symptoms even if you test NEGATIVE public health boss warns https://t.co/ssPCAM99mj https://t.co/GtPIo8sX1w" "RSA" "negative_warns" -2 "negative" 2 "(-3;-1]"
"61" "Warning to isolate if you have Covid-19 symptoms but have tested negative https://t.co/82pE6TphQ6 https://t.co/ny1TrU3pab" "RSA" "negative_warning" -2 "negative" 2 "(-3;-1]"
